keyword,competition,gobal searches,local searches,allintitle
how to test my antivirus,0.4,110,-,0
how to test your antivirus,-,210,-,10
how to use antivirus software,0.27,110,-,8
identity theft fraud alert,0.8,880,720,30
identity theft on the internet,0.93,1000,880,16
information on identity theft,1,1300,1000,26
insecure internet activity threat of virus attack,0.33,1900,-,32
lost wallet identity theft,0.73,320,-,2
meaning of computer virus,0.53,320,36,0
protect social security number,0.8,720,-,22
protecting against identity theft,0.93,480,390,28
remove a trojan horse virus,0.6,880,-,36
remove antivirus pro 2009,0.47,1600,-,29
remove computer virus for free,0.27,1300,-,4
remove computer virus free,0.27,1900,-,18
remove cool web search,0.73,320,260,4
remove security toolbar 7.1,0.53,320,-,25
remove trojan horse backdoor,0.53,720,-,21
remove trojan horse downloader,0.67,1000,590,46
remove trojan horse generic,0.47,2400,-,36
remove trojan horse psw,0.4,390,-,12
remove trojan horse sheur2,0.33,260,-,3
remove trojan horse virus free,0.73,390,320,6
remove trojan horse viruses,0.53,260,-,16
remove trojan horse vundo,0.2,320,-,4
remove virus on computer,0.4,720,-,20
removing spyware protect 2009,0.47,110,-,0
security toolbar 7.1 removal,0.47,480,-,10
software to remove trojan horse,0.47,140,-,2
speed up xp startup,0.6,2900,1300,23
spyware and adware removal program,1,1000,720,4
steps to prevent identity theft,0.73,320,320,16
system guard 2009 removal,0.4,260,-,18
system restore get rid of virus,-,260,-,1
trojan horse generic 10,0.4,880,-,22
trojan horse virus history,0.27,260,-,4
trojan zlob removal tool,0.6,590,390,8
virus on computer what to do,0.2,260,-,0
virus scan trojan horse,0.53,480,-,4
virus stops internet connection,-,140,-,0
virus stops task manager,-,91,-,0
virus that stops antivirus,-,91,-,2
w32 downadup b virus,-,880,-,12
what antivirus works with windows 7,0.4,210,-,0
what are computer virus,0.53,1300,590,41
what are good antivirus programs,0.27,140,-,0
what are the best antivirus programs,0.53,260,-,3
what can a computer virus do,0.13,320,-,8
what can a virus do to your computer,-,170,-,0
what computer viruses do,0.2,1600,-,27
what do computer viruses do,0.33,390,-,27
what does a computer virus do,0.27,320,-,3
what does a computer virus look like,0.33,170,-,3
what does computer virus mean,-,110,-,1
what internet security software,0.4,1300,-,30
what is a computer virus and what does it do,-,170,-,0
what is a good free antivirus software,0.13,260,-,2
what is a trojan computer virus,0.2,390,-,5
